what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354812640078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354812647109
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354812647437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354812660953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354812892265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354812894453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354812894453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354812894796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354812896484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354812909968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354812910718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813140734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354813147031
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813170531
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813171296
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813172109
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813174015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354813187500
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813189593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354813205187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354813205328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354813205484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354813205625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354813206031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354813258859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813292781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813292796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813292890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813405234
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813415078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813415390
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813441500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813446109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813447968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354813447984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813450484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813450500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813450578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813465234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813473109
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813477859
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813478140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813492656
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813534828
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813536984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813539093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813541796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813552640
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1354813557375
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1354813557406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813561265
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1354813561281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813578375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813583171
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1354813583171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813584359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813586750
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1354813586765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354813586765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813590734
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1354813594953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813595281
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1354813595281
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813610156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813612218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813615937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813615953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813617406
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1354813620125
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1354813620156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813629390
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1354813633531
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1354813633593
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813634968
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1354813646156
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1354813646578
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1354813646968
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1354813647015
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1354813647062
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1354813647328
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813650546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813659906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813666296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1354813666312
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1354813668718
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813670984
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1354813684906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813684906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813686875
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1354813692500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813692515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813696875
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354813697593
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1354813697703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813697703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813697812
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1354813697828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813698828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813698953
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1354813700046
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354813701171
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1354813703000
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354813708093
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1354813715703
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813738406
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1354813741578
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813744671
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1354813753906
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813755453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813793531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813799328
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813799515
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354813799609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354813802875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813840062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813840062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813840171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813841609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354813841875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814169875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814200562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814513937
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1354814521171
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1354814521390
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1354814521421
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1354814521421
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1354814521968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814522265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814529250
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1354814529421
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1354814529593
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1354814529765
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1354814529765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354814534000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354814540437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814544750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814548265
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1354814548328
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1354814548343
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354814580015
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354814606937
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1354814611343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814620703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814620703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814620828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814621750
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1354814624968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354814627250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814627750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814635406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814637843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814637843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814637937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814733343
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354814736875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814741359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354814760968
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1354814761031
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1354814761093
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1354814762203
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1354814765921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354814768062
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1354814768312
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1354814768421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354814769515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354814773406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354814777484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354814778375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354814779515
